mid,gid
tt7131622,5
tt7131622,8
tt8367814,1
tt8367814,5
tt8367814,6
tt6751668,5
tt6751668,8
tt6751668,24
tt8946378,5
tt8946378,6
tt8946378,8
tt8946378,17
tt8946378,24
tt8579674,8
tt8579674,25
tt4154796,1
tt4154796,2
tt4154796,8
tt4154796,21
tt7286456,6
tt7286456,8
tt7286456,24
tt2584384,5
tt2584384,8
tt2584384,25
tt0111161,8
tt0068646,6
tt0068646,8
tt3281548,8
tt3281548,20
tt0088763,2
tt0088763,5
tt0088763,21
tt0076759,1
tt0076759,2
tt0076759,10
tt0076759,21
tt0093779,2
tt0093779,9
tt0093779,10
tt0093779,20
tt7984734,8
tt7984734,10
tt7984734,14
tt7984734,17
tt0816692,2
tt0816692,8
tt0816692,21
tt0816692,24
tt0082971,1
tt0082971,2
tt1375666,1
tt1375666,2
tt1375666,21
tt1375666,24
tt0468569,1
tt0468569,6
tt0468569,8
tt0468569,24
tt1950186,1
tt1950186,4
tt1950186,8
tt1950186,22
tt1853728,8
tt1853728,26
tt0241527,2
tt0241527,9
tt0241527,10
tt0089218,2
tt0089218,5
tt0089218,9
tt0172495,1
tt0172495,2
tt0172495,8
tt3501632,1
tt3501632,2
tt3501632,5
tt3501632,10
tt3501632,21
tt0361748,2
tt0361748,8
tt0361748,25
tt1302006,4
tt1302006,6
tt1302006,8
tt0110912,6
tt0110912,8
tt0993846,4
tt0993846,6
tt0993846,8
tt3748528,1
tt3748528,2
tt3748528,21
tt5726616,8
tt5726616,20
tt0120737,1
tt0120737,2
tt0120737,8
tt0120737,10
tt2488496,1
tt2488496,2
tt2488496,21
tt4154756,1
tt4154756,2
tt4154756,21
tt5463162,1
tt5463162,2
tt5463162,5
tt5463162,21
tt0114369,6
tt0114369,8
tt0114369,17
tt0114369,24
tt0120815,8
tt0120815,25
tt0133093,1
tt0133093,21
tt8613070,8
tt8613070,20
tt0080684,1
tt0080684,2
tt0080684,10
tt0080684,21
tt0421715,8
tt0421715,10
tt0421715,20
tt0108358,1
tt0108358,4
tt0108358,8
tt0108358,13
tt0108358,26
tt0109830,8
tt0109830,20
tt2015381,1
tt2015381,2
tt2015381,5
tt2015381,21
tt0137523,8
tt0108052,4
tt0108052,8
tt0108052,13
tt0120338,8
tt0120338,20
tt0086190,1
tt0086190,2
tt0086190,10
tt0086190,21
tt4912910,1
tt4912910,2
tt4912910,24
tt1856101,1
tt1856101,8
tt1856101,17
tt1856101,21
tt1856101,24
tt0102926,6
tt0102926,8
tt0102926,24
tt3896198,1
tt3896198,2
tt3896198,5
tt3896198,21
tt0099685,4
tt0099685,6
tt0099685,8
tt5013056,1
tt5013056,8
tt5013056,13
tt5013056,24
tt5013056,25
tt0407887,6
tt0407887,8
tt0407887,24
tt1392190,1
tt1392190,2
tt1392190,21
tt1392190,24
tt6966692,4
tt6966692,5
tt6966692,8
tt6966692,15
tt0482571,8
tt0482571,17
tt0482571,21
tt0482571,24
tt0325980,1
tt0325980,2
tt0325980,10
tt0071562,6
tt0071562,8
tt0088847,5
tt0088847,8
tt0107290,1
tt0107290,2
tt0107290,21
tt0107290,24
tt1130884,17
tt1130884,24
tt7653254,5
tt7653254,8
tt7653254,20
tt2267998,8
tt2267998,17
tt2267998,24
tt0096874,2
tt0096874,5
tt0096874,21
tt0371746,1
tt0371746,2
tt0371746,21
tt0075314,6
tt0075314,8
tt0086250,6
tt0086250,8
tt0078748,14
tt0078748,21
tt0470752,8
tt0470752,17
tt0470752,21
tt0470752,24
tt4633694,3
tt4633694,1
tt4633694,2
tt4633694,9
tt4633694,21
tt0110413,1
tt0110413,6
tt0110413,8
tt0110413,24
tt3416742,5
tt3416742,14
tt0114814,6
tt0114814,17
tt0114814,24
tt1345836,1
tt1345836,2
