mid,pid,jib,credit,role
tt0111161,nm0001104,1,,
tt0111161,nm0000175,2,"short story ""Rita Hayworth and Shawshank Redemption""",
tt0111161,nm0001104,2,screenplay,
tt0111161,nm0000209,3,,Andy Dufresne
tt0111161,nm0000151,3,,Ellis Boyd 'Red' Redding
tt0111161,nm0348409,3,,Warden Norton
tt0111161,nm0006669,3,,Heywood
tt0111161,nm0000317,3,,Captain Hadley
tt0111161,nm0004743,3,,Tommy
tt0111161,nm0001679,3,,Bogs Diamond
tt0111161,nm0926235,3,,Brooks Hatlen
tt0111161,nm0218810,3,,1946 D.A.
tt0111161,nm0104594,3,,Skeet
tt0111161,nm0321358,3,,Jigger
tt0111161,nm0508742,3,,Floyd
tt0111161,nm0698998,3,,Snooze
tt0111161,nm0706554,3,,Ernie
tt0111161,nm0161980,3,,Guard Mert
tt0111161,nm0005204,3,,Guard Trout
tt0111161,nm0086169,3,,Andy Dufresne's Wife
tt0111161,nm0542957,3,,Glenn Quentin
tt0111161,nm0395612,3,,1946 Judge
tt0111161,nm2939075,3,,1947 Parole Hearings Man (as Gordon C. Greene)
tt0111161,nm0293285,3,,Fresh Fish Con
tt0111161,nm0288106,3,,Hungry Fish Con
tt0111161,nm0838734,3,,New Fish Guard
tt0111161,nm0535084,3,,Fat Ass
tt0111161,nm0587183,3,,Tyrell
tt0111161,nm0450287,3,,Laundry Bob
tt0111161,nm0526218,3,,Laundry Truck Driver
tt0111161,nm0908581,3,,Laundry Leonard
tt0111161,nm0204632,3,,Rooster
tt0111161,nm0838612,3,,Pete
tt0111161,nm0068709,3,,Guard Youngblood
tt0111161,nm0669787,3,,Projectionist (as Joseph Pecoraro)
tt0111161,nm0178535,3,,Hole Guard
tt0111161,nm0216507,3,,Guard Dekins
tt0111161,nm0573134,3,,Guard Wiley (as Don R. McManus)
tt0111161,nm0957014,3,,Moresby Batter (as Donald E. Zinn)
tt0111161,nm0798685,3,,1954 Landlady
tt0111161,nm0355121,3,,1954 Food-Way Manager
tt0111161,nm0811432,3,,1954 Food-Way Woman
tt0111161,nm0185905,3,,1957 Parole Hearings Man
tt0111161,nm0535850,3,,Ned Grimes
tt0111161,nm0195920,3,,Mail Caller (as Eugene C. De Pasquale)
tt0111161,nm0092877,3,,Elmo Blatch
tt0111161,nm0627830,3,,Elderly Hole Guard
tt0111161,nm0003440,3,,Bullhorn Tower Guard
tt0111161,nm0105623,3,,Man Missing Guard
tt0111161,nm0026627,3,,Head Bull Haig
tt0111161,nm0805731,3,,Bank Teller
tt0111161,nm0457267,3,,Bank Manager
tt0111161,nm0859459,3,,Bugle Editor
tt0111161,nm0443989,3,,1966 D.A.
tt0111161,nm0717493,3,,Duty Guard
tt0111161,nm0112393,3,,1967 Parole Hearings Man
tt0111161,nm0448271,3,,1967 Food-Way Manager
tt0068646,nm0000338,1,,
tt0068646,nm0701374,2,screenplay by,
tt0068646,nm0000338,2,screenplay by,
tt0068646,nm0701374,2,based on the novel by,
tt0068646,nm0000008,3,,Don Vito Corleone
tt0068646,nm0000199,3,,Michael Corleone
tt0068646,nm0001001,3,,Sonny Corleone
tt0068646,nm0144710,3,,Clemenza (as Richard Castellano)
tt0068646,nm0000380,3,,Tom Hagen
tt0068646,nm0001330,3,,Capt. McCluskey
tt0068646,nm0549134,3,,Jack Woltz
tt0068646,nm0002017,3,,Barzini
tt0068646,nm0504803,3,,Sollozzo
tt0068646,nm0000473,3,,Kay Adams
tt0068646,nm0001820,3,,Tessio
tt0068646,nm0001735,3,,Connie
tt0068646,nm0751625,3,,Carlo
tt0068646,nm0001030,3,,Fredo
tt0068646,nm0094036,3,,Cuneo
tt0068646,nm0553887,3,,Johnny Fontane
tt0068646,nm0455088,3,,Mama Corleone
tt0068646,nm0598926,3,,Luca Brasi
tt0068646,nm0553908,3,,Paulie Gatto
tt0068646,nm0181128,3,,Bonasera
tt0068646,nm0109175,3,,Neri
tt0068646,nm0733678,3,,Moe Greene
tt0068646,nm0320413,3,,Bruno Tattaglia
tt0068646,nm0780005,3,,Nazorine
tt0068646,nm0515372,3,,Theresa Hagen
tt0068646,nm0719353,3,,Philip Tattaglia
tt0068646,nm0512642,3,,Lucy Mancini
tt0068646,nm0339589,3,,Sandra Corleone
tt0068646,nm0792132,3,,Mrs. Clemenza
tt0068646,nm0824940,3,,Apollonia - Sicilian Sequence
tt0068646,nm0408636,3,,Fabrizio - Sicilian Sequence
tt0068646,nm0301403,3,,Don Tommasino - Sicilian Sequence
tt0068646,nm0162948,3,,Calo - Sicilian Sequence
tt0068646,nm0882237,3,,Vitelli - Sicilian Sequence
tt0071562,nm0000338,1,,
tt0071562,nm0000338,2,screenplay by,
tt0071562,nm0701374,2,screenplay by,
tt0071562,nm0701374,2,based on the novel by,
tt0071562,nm0000199,3,,Michael
tt0071562,nm0000380,3,,Tom Hagen
tt0071562,nm0000473,3,,Kay
tt0071562,nm0000134,3,,Vito Corleone (as Robert DeNiro)
tt0071562,nm0001030,3,,Fredo Corleone
tt0071562,nm0001735,3,,Connie Corleone
tt0071562,nm0833448,3,,Hyman Roth
tt0071562,nm0311155,3,,Frankie Pentangeli
tt0071562,nm0819525,3,,Sen. Pat Geary
tt0071562,nm0109175,3,,Al Neri
tt0071562,nm0608311,3,,Fanucci (as Gaston Moschin)
tt0071562,nm0743159,3,,Rocco Lampone
tt0071562,nm0456124,3,,Young Clemenza (as B. Kirby Jr.)
tt0071562,nm0803370,3,,Genco
tt0071562,nm0211495,3,,Young Mama Corleone (as Francesca de Sapio)
tt0071562,nm0455088,3,,Mama Corleone
tt0071562,nm0384494,3,,Deanna Corleone (as Mariana Hill)
tt0071562,nm0872689,3,,Signor Roberto
tt0071562,nm0156940,3,,Johnny Ola
tt0071562,nm0869293,3,,Michael's Bodyguard
tt0071562,nm0001148,3,,Merle Johnson
tt0071562,nm0032501,3,,Young Tessio
tt0071562,nm0818874,3,,Willi Cicci
tt0071562,nm0001820,3,,Tessio
tt0071562,nm0515372,3,,Theresa Hagen
tt0071562,nm0751625,3,,Carlo
tt0071562,nm0141404,3,,Vito's Mother
tt0071562,nm0049764,3,,Vito Andolini - as a Boy
tt0071562,nm0798077,3,,Don Francesco
tt0071562,nm0182876,3,,Don Tommasino
tt0071562,nm0332631,3,,Anthony Corleone
tt0071562,nm0816670,3,,Mrs. Marcia Roth
tt0071562,nm0001765,3,,F.B.I. Man #1
tt0071562,nm0048371,3,,F.B.I. Man #2 (as David Baker)
tt0071562,nm0137142,3,,Carmine Rosato
tt0071562,nm0000732,3,,Tony Rosato
tt0071562,nm0286148,3,,Policeman
tt0071562,nm0228294,3,,Bartender
tt0071562,nm0575453,3,,Father Carmelo (as Father Joseph Medeglia)
tt0071562,nm0101115,3,,Senate Committee Chairman
tt0071562,nm0217394,3,,Michael's Buttonman #1 (as Joe Della Sorte)
tt0071562,nm0034492,3,,Michael's Buttonman #2
tt0071562,nm0342519,3,,Michael's Buttonman #3
tt0071562,nm0280831,3,,Impressario
tt0071562,nm0320400,3,,Tenor in 'Senza Mamma'
tt0071562,nm0000898,3,,Girl in 'Senza Mamma' (as Kathy Beller)
tt0071562,nm0563636,3,,Signora Colombo
tt0071562,nm0016199,3,,Cuban President
tt0071562,nm0621221,3,,Cuban Translator
tt0071562,nm0537379,3,,Pentangeli's Wife
tt0071562,nm0687785,3,,Pentangeli's Brother
tt0071562,nm0660568,3,,Mosca
tt0071562,nm0560848,3,,Strollo
tt0071562,nm0480225,3,,Signor Abbandando
tt0071562,nm0178919,3,,Street Vendor
tt0071562,nm0232194,3,,Questadt
tt0071562,nm0197080,3,,Fred Corngold
tt0071562,nm0114407,3,,Sen. Ream
tt0071562,nm0271093,3,,Senator #1
tt0071562,nm0000339,3,,Senator #2
tt0071562,nm0171583,3,,Yolanda (as Yvonne Coll)
tt0071562,nm0210568,3,,Attendant at Brothel (as J.D. Nicols)
tt0071562,nm0887980,3,,Ellis Island Doctor
tt0071562,nm0069202,3,,Ellis Island Nurse (as Gabria Belloni)
tt0071562,nm0914846,3,,Customs Official
tt0071562,nm0335090,3,,Cuban Nurse
tt0071562,nm0948361,3,,Governess
tt0071562,nm0864227,3,,Midwife (as Theresa Tirelli)
tt0468569,nm0634240,1,,
tt0468569,nm0634300,2,screenplay,
tt0468569,nm0634240,2,screenplay,
tt0468569,nm0634240,2,story,
tt0468569,nm0333060,2,story,
tt0468569,nm0004170,2,characters,
tt0468569,nm0000288,3,,Bruce Wayne
tt0468569,nm0005132,3,,Joker
tt0468569,nm0001173,3,,Harvey Dent
tt0468569,nm0000323,3,,Alfred
tt0468569,nm0350454,3,,Rachel
tt0468569,nm0000198,3,,Gordon
tt0468569,nm0000151,3,,Lucius Fox
tt0468569,nm1010931,3,,Ramirez
tt0468569,nm0212939,3,,Wuertz
tt0468569,nm0614165,3,,Scarecrow
tt0468569,nm1977856,3,,Lau
tt0468569,nm0004801,3,,Mayor
tt0468569,nm0000616,3,,Maroni
tt0468569,nm0182662,3,,Chechen
tt0468569,nm0001309,3,,Mike Engel
tt0468569,nm0843775,3,,Stephens
tt0468569,nm0568801,3,,Loeb
tt0468569,nm0367176,3,,Reese
tt0468569,nm0569927,3,,Barbara Gordon
tt0468569,nm1997480,3,,"James Gordon, Jr."
tt0468569,nm2312716,3,,Rossi
tt0468569,nm0832989,3,,Dopey
tt0468569,nm2624644,3,,Happy
tt0468569,nm0325975,3,,Grumpy
tt0468569,nm0925220,3,,Gambol
tt0468569,nm1115978,3,,Chuckles
tt0468569,nm0001209,3,,Bank Manager
tt0468569,nm0646005,3,,Drug Dealer
tt0468569,nm1716697,3,,Drug Buyer
tt0468569,nm3059371,3,,Junkie
tt0468569,nm0742389,3,,Natascha
tt0468569,nm0630405,3,,Crime Boss
tt0468569,nm0155211,3,,LSI VP
tt0468569,nm0735455,3,,Judge Surrillo
tt0468569,nm2997530,3,,Brian
tt0468569,nm2324587,3,,Man No. 1
tt0468569,nm0568458,3,,Man No. 2
tt0468569,nm0952040,3,,Assistant DA
tt0468569,nm0276441,3,,Thug at Party
tt0468569,nm0495004,3,,Gentleman at Party
tt0468569,nm0220308,3,,Male Guest
tt0468569,nm2029513,3,,Female Guest
tt0468569,nm0165816,3,,Judge Freel
tt0468569,nm0242759,3,,Maroni's Mistress
tt0468569,nm1111200,3,,Gambol's Bodyguard (as Chucky Venn)
tt0468569,nm0255148,3,,Gambol's Bodyguard
tt0468569,nm2810287,3,,Joker's Thug
tt0468569,nm3060002,3,,Reporter
tt0468569,nm1199547,3,,Heckler
tt0468569,nm0127438,3,,Cop Heckler
tt0468569,nm0226819,3,,Acting Commissioner
tt0468569,nm1699095,3,,Officer at Intersection
tt0468569,nm3059740,3,,Convoy Leader
tt0468569,nm3059726,3,,Fat Thug
tt0468569,nm1711389,3,,Murphy
tt0468569,nm0083307,3,,Cop with Fat Thug
tt0468569,nm0507860,3,,Medic
tt0468569,nm0516020,3,,Cop at 250 52nd St.
tt0468569,nm0186406,3,,Nurse
tt0468569,nm0293461,3,,Polk
tt0468569,nm2754138,3,,Berg
tt0468569,nm0331033,3,,Cop at Hospital
tt0468569,nm3060034,3,,Bartender
tt0468569,nm1197191,3,,Civilian
tt0468569,nm1208061,3,,First Mate
tt0468569,nm0081070,3,,Prison Ferry Pilot
tt0468569,nm0048159,3,,Guard Commander
tt0468569,nm0050607,3,,Businessman
tt0468569,nm0933498,3,,Mother (as Helene Wilson)
tt0468569,nm1035174,3,,Passenger
tt0468569,nm1035498,3,,Passenger
tt0468569,nm1452416,3,,Passenger
tt0468569,nm1933893,3,,Passenger
tt0468569,nm0111730,3,,Passenger
tt0468569,nm2024154,3,,SWAT Sniper
tt0468569,nm0729237,3,,SWAT Leader
tt0468569,nm0500614,3,,Prisoner on Ferry
tt0468569,nm0001474,3,,Tattooed Prisoner (as Tommy Tiny Lister)
tt0468569,nm2480229,3,,Reporter #3
tt0468569,nm0035628,3,,Evans
tt0468569,nm2643690,3,,Honor Guard Man
tt0468569,nm0846925,3,,Uniform Cop
tt0468569,nm0916037,3,,Bounty Hunter
tt0468569,nm2916966,3,,Bounty Hunter
tt0468569,nm3059516,3,,Fox's Secretary (as Gertrude Kyles)
tt0468569,nm0753322,3,,Passenger Ferry Pilot
tt0468569,nm0768790,3,,Guardsman
tt0468569,nm0140585,3,,Warden
tt0468569,nm1128414,3,,Corrections Officer
tt0468569,nm3059545,3,,Prisoner
tt0468569,nm3060088,3,,Prisoner
tt0468569,nm0598236,3,,Prisoner
tt0468569,nm2788751,3,,Prisoner
tt0468569,nm2647349,3,,Hong Kong Detective
tt0468569,nm3059835,3,,Honor Guard Leader
tt0468569,nm3060152,3,,Gordon's Daughter
tt0468569,nm0483029,3,,Armored Car SWAT
tt0050083,nm0001486,1,,
tt0050083,nm0741627,2,story,
tt0050083,nm0741627,2,screenplay,
tt0050083,nm0000842,3,,Juror 1
tt0050083,nm0275835,3,,Juror 2
tt0050083,nm0002011,3,,Juror 3
tt0050083,nm0550855,3,,Juror 4
tt0050083,nm0001430,3,,Juror 5
tt0050083,nm0083081,3,,Juror 6
tt0050083,nm0912001,3,,Juror 7
tt0050083,nm0000020,3,,Juror 8
tt0050083,nm0842137,3,,Juror 9
tt0050083,nm0003225,3,,Juror 10
tt0050083,nm0903667,3,,Juror 11
tt0050083,nm0916434,3,,Juror 12
tt0108052,nm0000229,1,,
tt0108052,nm0447745,2,book,
tt0108052,nm0001873,2,screenplay,
tt0108052,nm0000553,3,,Oskar Schindler
tt0108052,nm0001426,3,,Itzhak Stern
tt0108052,nm0000146,3,,Amon Goeth
tt0108052,nm0328751,3,,Emilie Schindler
tt0108052,nm0755974,3,,Poldek Pfefferberg (as Jonathan Sagalle)
tt0108052,nm0001110,3,,Helen Hirsch
tt0108052,nm0311343,3,,Wiktoria Klonowska (as Malgoscha Gebel)
tt0108052,nm0506616,3,,Wilek Chilowicz (as Shmulik Levy)
tt0108052,nm0411980,3,,Marcel Goldberg
tt0108052,nm0534151,3,,Ingrid (as Beatrice Macola)
tt0108052,nm0786614,3,,Julian Scherner
tt0108052,nm0903110,3,,Rolf Czurda (as Friedrich Von Thun)
tt0108052,nm0525181,3,,Herman Toffel
tt0108052,nm0624582,3,,Leo John
tt0108052,nm0919256,3,,Albert Hujar
tt0108052,nm0633058,3,,Mila Pfefferberg
tt0108052,nm0773946,3,,Juda Dresner
tt0108052,nm0264577,3,,Chaja Dresner
tt0108052,nm0610839,3,,Danka Dresner
tt0108052,nm0592651,3,,Mordecai Wulkan
tt0108052,nm0330457,3,,Mr. Nussbaum
tt0108052,nm0342800,3,,Mrs. Nussbaum
tt0108052,nm0944216,3,,Henry Rosner
tt0108052,nm0658831,3,,Manci Rosner
tt0108052,nm0689320,3,,Leo Rosner
tt0108052,nm0196710,3,,Rabbi Menasha Levartov
tt0108052,nm3284411,3,,Rebecca Tannenbaum (as Beata Nowak)
tt0108052,nm0381812,3,,Josef Bau (as Rami Hauberger)
tt0108052,nm0468956,3,,Investor
tt0108052,nm0637360,3,,Investor
tt0108052,nm0043303,3,,Chaim Nowak
tt0108052,nm0797171,3,,O.D. / Chicken Boy
tt0108052,nm0199259,3,,Nuisa Horowitz
tt0108052,nm0216117,3,,Dolek Horowitz
tt0108052,nm0175572,3,,Garage Mechanic
tt0108052,nm0196451,3,,Red Genia
tt0108052,nm0084402,3,,Mr. Löwenstein
tt0108052,nm0102940,3,,DEF Foreman
tt0108052,nm0458352,3,,Lisiek
tt0108052,nm0530581,3,,Diana Reiter
tt0108052,nm0463875,3,,Irrational Woman
tt0108052,nm0475460,3,,Regina Perlman
tt0108052,nm0477134,3,,Mietek Pemper
tt0108052,nm0560529,3,,Investigator
tt0108052,nm0462610,3,,Doorman
tt0108052,nm0039879,3,,Julius Madritsch (as Hans Jorg Assmann)
tt0108052,nm0496087,3,,Majola
tt0108052,nm0773590,3,,Dieter Reeder (as August Schmolzer)
tt0108052,nm0685598,3,,Josef Liepold
tt0108052,nm0752991,3,,Club Singer
tt0108052,nm0527322,3,,Nightclub Maitre d'
tt0108052,nm0560246,3,,Treblinka Commandant
tt0108052,nm0716795,3,,Rudolph Hoss (as Hans Michael Rehberg)
tt0108052,nm0698178,3,,Waiter (as Eugeniusz Priwiezencew)
tt0108052,nm0389222,3,,Montelupich Colonel
tt0108052,nm0496441,3,,SS Waffen Officer
tt0108052,nm0293695,3,,Wilhelm Kunde
tt0108052,nm0920487,3,,Dr. Blancke
tt0108052,nm0215746,3,,Dr. Josef Mengele (as Daniel Del Ponte)
tt0108052,nm0322882,3,,DEF SS Officer
tt0108052,nm0198812,3,,SS Sgt. Kunder
tt0108052,nm0107014,3,,DEF Guard
tt0108052,nm0523821,3,,Auschwitz Guard (as Olaf Linde Lubaszenko)
tt0108052,nm0125379,3,,Auschwitz Guard
tt0108052,nm0032303,3,,Auschwitz Guard
tt0108052,nm0700286,3,,Brinnlitz Guard
tt0108052,nm0214076,3,,Gestapo
tt0108052,nm0390831,3,,Gestapo
tt0108052,nm0783847,3,,SS Waffen Man
tt0108052,nm0401291,3,,Gestapo Brinnlitz
tt0108052,nm0374901,3,,SS Bureaucrat (as Gerald Alexander Held)
tt0108052,nm0194305,3,,Ukrainian Guard
tt0108052,nm0039784,3,,Gestapo Clerk Klaus Tauber
tt0108052,nm0706486,3,,Border Guard
tt0108052,nm0650192,3,,German Clerk
tt0108052,nm0943012,3,,Toffel's Secretary
tt0108052,nm0468969,3,,Scherner's Secretary
tt0108052,nm0344859,3,,Czurda's Secretary
tt0108052,nm0937055,3,,Bosch
tt0108052,nm0464733,3,,Goeth's Girl
tt0108052,nm0472650,3,,Czurda's Girl (as Agnieszka Kruk)
tt0108052,nm0461789,3,,Polish Girl
tt0108052,nm0283490,3,,Brinnlitz Man
tt0108052,nm0905777,3,,Brinnlitz Girl
tt0108052,nm0432907,3,,Russian Officer
tt0108052,nm0464582,3,,Plaszow Depot SS Guard
tt0108052,nm0468959,3,,SS Guard Zablocie
tt0108052,nm1295836,3,,SS NCO Zablocie
tt0108052,nm0543876,3,,SS NCO - Ghetto
tt0108052,nm0281374,3,,SS NCO - Ghetto
tt0108052,nm0069864,3,,SS NCO - Ghetto
tt0108052,nm0844372,3,,Ghetto Woman (as Ethel Szyc)
tt0108052,nm0951382,3,,Ghetto Woman
tt0108052,nm0267336,3,,Old Jewish Woman
tt0108052,nm0755984,3,,Ghetto Old Man
tt0108052,nm0844384,3,,Prisoner at Depot
tt0108052,nm0070459,3,,Clerk at Depot
tt0108052,nm0935246,3,,Black Marketeer
tt0108052,nm0473112,3,,Black Marketeer
tt0108052,nm0501758,3,,Black Marketeer
tt0108052,nm0467318,3,,Ghetto Doctor
tt0108052,nm0652292,3,,Frantic Woman
tt0108052,nm0803827,3,,Stable Boy
tt0108052,nm0705922,3,,Pankiewicz
tt0108052,nm0434365,3,,Man in Pharmacy
tt0108052,nm0630583,3,,NCO Plaszow (as Bartek Niebielski)
tt0108052,nm0004623,3,,Grun
tt0108052,nm0465318,3,,Engineer Man
tt0108052,nm0944101,3,,Clara Sternberg
tt0108052,nm0272320,3,,Maria Mischel
tt0108052,nm0466850,3,,Ghetto Girl
tt0108052,nm0066111,3,,Ghetto Girl
tt0108052,nm0473385,3,,Ghetto Girl
tt0108052,nm0546021,3,,Ghetto Man
tt0108052,nm0743112,3,,Ghetto Man
tt0108052,nm0523820,3,,Brinnlitz Priest (as Edward Linde Lubaszenko)
tt0108052,nm0834708,3,,Montelupich Prisoner
tt0108052,nm0449452,3,,Depot Master (as Goerges Kern)
tt0108052,nm0118842,3,,Plaszow SS Guard
tt0108052,nm0771665,3,,Plaszow SS Guard
tt0108052,nm0653248,3,,Plaszow SS Guard (as Goetz Otto)
tt0108052,nm0782405,3,,Plaszow SS Guard
tt0108052,nm0469425,3,,Plaszow SS Guard (as Hubert Kramer)
tt0108052,nm0411492,3,,Plaszow Jewish Girl
tt0108052,nm0780439,3,,Plaszow Jewish Girl (as Dorit Ady Seadia)
tt0108052,nm0947685,3,,Plaszow Jewish Girl
tt0167260,nm0001392,1,,
tt0167260,nm0866058,2,novel,
tt0167260,nm0909638,2,screenplay,
tt0167260,nm0101991,2,screenplay,
tt0167260,nm0001392,2,screenplay,
tt0167260,nm0032370,3,,Everard Proudfoot
tt0167260,nm0040012,3,,Elanor Gamgee (as Alexandra Astin)
tt0167260,nm0000276,3,,Sam
tt0167260,nm0040058,3,,Gondorian Soldier 3
tt0167260,nm0045324,3,,Madril
tt0167260,nm0000293,3,,Boromir
tt0167260,nm0000949,3,,Galadriel
tt0167260,nm0089217,3,,Legolas
tt0167260,nm0101710,3,,Pippin
tt0167260,nm1480092,3,,Eldarion
tt0167260,nm0115143,3,,Damrod
tt0167260,nm0190744,3,,Celeborn
tt0167260,nm1480102,3,,Gondorian Soldier 1
tt0167260,nm1480106,3,,Uruk 2
tt0167260,nm0384060,3,,Theoden
tt0167260,nm0000453,3,,Bilbo
tt0167260,nm0394126,3,,Gamling
tt0167260,nm0400655,3,,Irolas
tt0167260,nm0538692,3,,Witchking / Gothmog
tt0167260,nm0005212,3,,Gandalf
tt0167260,nm1235366,3,,Elf Escort
