mid,title,release_date,summary,runtime,rating,num_votes
tt0111161,The Shawshank Redemption,1994-09-23,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,9.3,2236485
tt0068646,The Godfather,1972-03-24,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175,9.2,1542064
tt0071562,The Godfather: Part II,1974-12-18,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,9.0,1078609
tt0468569,The Dark Knight,2008-07-16,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,9.0,2207191
tt0050083,12 Angry Men,1957-04-10,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96,8.9,653950
tt0108052,Schindler's List,1993-12-15,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,8.9,1163160
tt0167260,The Lord of the Rings: The Return of the King,2003-12-17,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,8.9,1581991
tt0110912,Pulp Fiction,1994-09-10,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,8.9,1752613
tt0060196,"Il buono, il brutto, il cattivo",1966-12-23,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,161,8.8,660880
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001-12-19,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,8.8,1595184
tt0137523,Fight Club,1999-10-15,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139,8.8,1780279
tt0109830,Forrest Gump,1994-07-06,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142,8.8,1724447
tt1375666,Inception,2010-07-14,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,148,8.8,1960833
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980-05-21,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",124,8.7,1116313
tt0167261,The Lord of the Rings: The Two Towers,2002-12-18,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,8.7,1429111
tt0133093,The Matrix,1999-03-31,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,136,8.7,1605370
tt0099685,Goodfellas,1990-09-12,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146,8.7,973005
tt0073486,One Flew Over the Cuckoo's Nest,1975-11-19,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133,8.7,878019
tt0047478,Shichinin no samurai,1954-04-26,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,207,8.6,302105
tt0114369,Se7en,1995-09-22,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,8.6,1376713
tt0118799,La vita è bella,1997-12-20,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116,8.6,594553
tt0317248,Cidade de Deus,2002-08-30,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,8.6,677099
tt0102926,The Silence of the Lambs,1991-02-14,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,8.6,1211348
tt0038650,It's a Wonderful Life,1947-01-07,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130,8.6,382093
tt0076759,Star Wars,1977-05-25,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121,8.6,1188422
tt6751668,Gisaengchung,2019-05-30,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,8.6,399566
tt0120815,Saving Private Ryan,1998-07-24,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,8.6,1183469
tt0245429,Sen to Chihiro no kamikakushi,2001-07-20,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125,8.6,608985
tt0120689,The Green Mile,1999-12-10,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189,8.6,1090775
tt0816692,Interstellar,2014-11-05,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169,8.6,1411666
tt0110413,Léon,1994-09-14,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110,8.5,990206
tt0114814,The Usual Suspects,1995-07-19,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106,8.5,954181
