pid,name
nm0001104,Frank Darabont
nm0000175,Stephen King
nm0001104,Frank Darabont
nm0000209,Tim Robbins
nm0000151,Morgan Freeman
nm0348409,Bob Gunton
nm0006669,William Sadler
nm0000317,Clancy Brown
nm0004743,Gil Bellows
nm0001679,Mark Rolston
nm0926235,James Whitmore
nm0218810,Jeffrey DeMunn
nm0104594,Larry Brandenburg
nm0321358,Neil Giuntoli
nm0508742,Brian Libby
nm0698998,David Proval
nm0706554,Joseph Ragno
nm0161980,Jude Ciccolella
nm0005204,Paul McCrane
nm0086169,Renee Blaine
nm0542957,Scott Mann
nm0395612,John Horton
nm2939075,Gordon Greene
nm0293285,Alfonso Freeman
nm0288106,V.J. Foster
nm0838734,John E. Summers
nm0535084,Frank Medrano
nm0587183,Mack Miles
nm0450287,Alan R. Kessler
nm0526218,Morgan Lund
nm0908581,Cornell Wallace
nm0204632,Gary Lee Davis
nm0838612,Neil Summers
nm0068709,Ned Bellamy
nm0669787,Joe Pecoraro
nm0178535,Harold E. Cope Jr.
nm0216507,Brian Delate
nm0573134,Don McManus
nm0957014,Donald Zinn
nm0798685,Dorothy Silver
nm0355121,Robert Haley
nm0811432,Dana Snyder
nm0185905,John D. Craig
nm0535850,Ken Magee
nm0195920,Eugene C. DePasquale
nm0092877,Bill Bolender
nm0627830,Ron Newell
nm0003440,John R. Woodward
nm0105623,Chuck Brauchler
nm0026627,Dion Anderson
nm0805731,Claire Slemmer
nm0457267,James Kisicki
nm0859459,Rohn Thomas
nm0443989,Charlie Kearns
nm0717493,Rob Reider
nm0112393,Brian Brophy
nm0448271,Paul Kennedy
nm0000338,Francis Ford Coppola
nm0701374,Mario Puzo
nm0000338,Francis Ford Coppola
nm0701374,Mario Puzo
nm0000008,Marlon Brando
nm0000199,Al Pacino
nm0001001,James Caan
nm0144710,Richard S. Castellano
nm0000380,Robert Duvall
nm0001330,Sterling Hayden
nm0549134,John Marley
nm0002017,Richard Conte
nm0504803,Al Lettieri
nm0000473,Diane Keaton
nm0001820,Abe Vigoda
nm0001735,Talia Shire
nm0751625,Gianni Russo
nm0001030,John Cazale
nm0094036,Rudy Bond
nm0553887,Al Martino
nm0455088,Morgana King
nm0598926,Lenny Montana
nm0553908,John Martino
nm0181128,Salvatore Corsitto
nm0109175,Richard Bright
nm0733678,Alex Rocco
nm0320413,Tony Giorgio
nm0780005,Vito Scotti
nm0515372,Tere Livrano
nm0719353,Victor Rendina
nm0512642,Jeannie Linero
nm0339589,Julie Gregg
